timestamp,graph_type,place_name or coordinates,odtc_time,odtc_central_nodes_count,total_origin_nodes,total_dest_nodes,total_odtc_nodes,tc_time,tc_central_nodes_count,total_tc_nodes
2025-02-21T23:12:06.719894,Grid,"Sampaloc, Manila",2.3717,38,58,123,628,5.5231,33,628
2025-02-21T23:12:19.960983,Grid,"Sampaloc, Manila",2.3666,38,58,123,628,5.523,33,628
2025-02-21T23:12:33.255340,Grid,"Sampaloc, Manila",2.3686,38,58,123,628,5.5592,33,628
2025-02-21T23:12:46.499874,Grid,"Sampaloc, Manila",2.3519,38,58,123,628,5.5164,33,628
2025-02-21T23:12:59.751893,Grid,"Sampaloc, Manila",2.3775,38,58,123,628,5.5209,33,628
2025-02-21T23:13:13.041526,Grid,"Sampaloc, Manila",2.3739,38,58,123,628,5.5451,33,628
2025-02-21T23:13:26.255719,Grid,"Sampaloc, Manila",2.3604,38,58,123,628,5.5056,33,628
2025-02-21T23:13:39.503624,Grid,"Sampaloc, Manila",2.3673,38,58,123,628,5.5176,33,628
2025-02-21T23:13:52.800773,Grid,"Sampaloc, Manila",2.3804,38,58,123,628,5.5373,33,628
2025-02-21T23:14:06.017947,Grid,"Sampaloc, Manila",2.3421,38,58,123,628,5.5331,33,628
2025-02-21T23:14:19.294597,Grid,"Sampaloc, Manila",2.3765,38,58,123,628,5.5968,33,628
2025-02-21T23:14:41.273798,Grid,"Sampaloc, Manila",3.0549,38,58,123,628,5.596,33,628
2025-02-21T23:14:54.471900,Grid,"Sampaloc, Manila",2.382,38,58,123,628,5.5208,33,628
2025-02-21T23:15:07.721511,Grid,"Sampaloc, Manila",2.3788,38,58,123,628,5.4981,33,628
2025-02-21T23:15:21.019558,Grid,"Sampaloc, Manila",2.3741,38,58,123,628,5.5481,33,628
2025-02-21T23:15:34.360174,Grid,"Sampaloc, Manila",2.3794,38,58,123,628,5.6024,33,628
2025-02-21T23:15:47.661605,Grid,"Sampaloc, Manila",2.3699,38,58,123,628,5.5494,33,628
2025-02-21T23:16:00.948269,Grid,"Sampaloc, Manila",2.359,38,58,123,628,5.5396,33,628
2025-02-21T23:16:14.218399,Grid,"Sampaloc, Manila",2.3742,38,58,123,628,5.5352,33,628
2025-02-21T23:16:27.533869,Grid,"Sampaloc, Manila",2.3678,38,58,123,628,5.5584,33,628
2025-02-21T23:16:40.879914,Grid,"Sampaloc, Manila",2.379,38,58,123,628,5.5972,33,628
2025-02-21T23:16:54.149186,Grid,"Sampaloc, Manila",2.3633,38,58,123,628,5.5322,33,628
2025-02-21T23:17:07.439172,Grid,"Sampaloc, Manila",2.3637,38,58,123,628,5.5631,33,628
2025-02-21T23:17:20.677887,Grid,"Sampaloc, Manila",2.3597,38,58,123,628,5.5215,33,628
2025-02-21T23:17:33.954225,Grid,"Sampaloc, Manila",2.3748,38,58,123,628,5.5296,33,628
2025-02-21T23:17:47.212022,Grid,"Sampaloc, Manila",2.3651,38,58,123,628,5.5191,33,628
2025-02-21T23:18:00.475358,Grid,"Sampaloc, Manila",2.3585,38,58,123,628,5.528,33,628
2025-02-21T23:18:13.733440,Grid,"Sampaloc, Manila",2.3586,38,58,123,628,5.526,33,628
2025-02-21T23:18:27.047983,Grid,"Sampaloc, Manila",2.3712,38,58,123,628,5.616,33,628
2025-02-21T23:18:40.293325,Grid,"Sampaloc, Manila",2.3695,38,58,123,628,5.6004,33,628
2025-02-21T23:18:53.538242,Grid,"Sampaloc, Manila",2.3771,38,58,123,628,5.5662,33,628
2025-02-21T23:19:06.816775,Grid,"Sampaloc, Manila",2.3912,38,58,123,628,5.5174,33,628
2025-02-21T23:19:20.125129,Grid,"Sampaloc, Manila",2.3851,38,58,123,628,5.5606,33,628
2025-02-21T23:19:33.355666,Grid,"Sampaloc, Manila",2.3749,38,58,123,628,5.4941,33,628
2025-02-21T23:19:46.687018,Grid,"Sampaloc, Manila",2.3791,38,58,123,628,5.5683,33,628
2025-02-21T23:19:59.955402,Grid,"Sampaloc, Manila",2.3698,38,58,123,628,5.5372,33,628
2025-02-21T23:20:13.232700,Grid,"Sampaloc, Manila",2.3568,38,58,123,628,5.5417,33,628
2025-02-21T23:20:26.526963,Grid,"Sampaloc, Manila",2.3654,38,58,123,628,5.5681,33,628
2025-02-21T23:20:39.848117,Grid,"Sampaloc, Manila",2.3837,38,58,123,628,5.5656,33,628
2025-02-21T23:20:53.170621,Grid,"Sampaloc, Manila",2.3654,38,58,123,628,5.5649,33,628
2025-02-21T23:21:06.487816,Grid,"Sampaloc, Manila",2.3825,38,58,123,628,5.554,33,628
2025-02-21T23:21:19.748115,Grid,"Sampaloc, Manila",2.3685,38,58,123,628,5.5014,33,628
2025-02-21T23:21:32.954014,Grid,"Sampaloc, Manila",2.3424,38,58,123,628,5.5096,33,628
2025-02-21T23:21:46.216795,Grid,"Sampaloc, Manila",2.3746,38,58,123,628,5.5234,33,628
2025-02-21T23:21:59.496905,Grid,"Sampaloc, Manila",2.3651,38,58,123,628,5.5451,33,628
2025-02-21T23:22:12.680212,Grid,"Sampaloc, Manila",2.3559,38,58,123,628,5.5003,33,628
2025-02-21T23:22:25.910973,Grid,"Sampaloc, Manila",2.3843,38,58,123,628,5.5617,33,628
2025-02-21T23:22:39.130057,Grid,"Sampaloc, Manila",2.3707,38,58,123,628,5.5752,33,628
2025-02-21T23:22:52.325850,Grid,"Sampaloc, Manila",2.3646,38,58,123,628,5.5296,33,628
2025-02-21T23:23:05.563252,Grid,"Sampaloc, Manila",2.3645,38,58,123,628,5.5188,33,628
2025-02-21T23:23:18.817078,Grid,"Sampaloc, Manila",2.3842,38,58,123,628,5.524,33,628
2025-02-21T23:23:32.127756,Grid,"Sampaloc, Manila",2.3961,38,58,123,628,5.554,33,628
2025-02-21T23:23:45.382352,Grid,"Sampaloc, Manila",2.356,38,58,123,628,5.5138,33,628
2025-02-21T23:23:58.595616,Grid,"Sampaloc, Manila",2.3605,38,58,123,628,5.5285,33,628
2025-02-21T23:24:11.910499,Grid,"Sampaloc, Manila",2.3809,38,58,123,628,5.5667,33,628
2025-02-21T23:24:25.198719,Grid,"Sampaloc, Manila",2.3683,38,58,123,628,5.5465,33,628
2025-02-21T23:24:38.496440,Grid,"Sampaloc, Manila",2.3747,38,58,123,628,5.5353,33,628
2025-02-21T23:24:51.782218,Grid,"Sampaloc, Manila",2.384,38,58,123,628,5.5342,33,628
2025-02-21T23:25:05.022679,Grid,"Sampaloc, Manila",2.3726,38,58,123,628,5.5238,33,628
2025-02-21T23:25:18.247190,Grid,"Sampaloc, Manila",2.3497,38,58,123,628,5.4979,33,628
2025-02-21T23:25:31.474396,Grid,"Sampaloc, Manila",2.351,38,58,123,628,5.524,33,628
2025-02-21T23:25:44.724746,Grid,"Sampaloc, Manila",2.3631,38,58,123,628,5.5276,33,628
2025-02-21T23:25:57.949984,Grid,"Sampaloc, Manila",2.3607,38,58,123,628,5.505,33,628
2025-02-21T23:26:11.210044,Grid,"Sampaloc, Manila",2.3821,38,58,123,628,5.5339,33,628
2025-02-21T23:26:24.539723,Grid,"Sampaloc, Manila",2.3811,38,58,123,628,5.6523,33,628
2025-02-21T23:26:37.911489,Grid,"Sampaloc, Manila",2.3995,38,58,123,628,5.678,33,628
2025-02-21T23:26:51.063587,Grid,"Sampaloc, Manila",2.3595,38,58,123,628,5.4967,33,628
2025-02-21T23:27:04.314527,Grid,"Sampaloc, Manila",2.3694,38,58,123,628,5.5345,33,628
2025-02-21T23:27:17.630586,Grid,"Sampaloc, Manila",2.3868,38,58,123,628,5.5556,33,628
2025-02-21T23:27:30.961233,Grid,"Sampaloc, Manila",2.3865,38,58,123,628,5.5995,33,628
2025-02-21T23:27:44.212825,Grid,"Sampaloc, Manila",2.364,38,58,123,628,5.5312,33,628
2025-02-21T23:27:57.574291,Grid,"Sampaloc, Manila",2.3928,38,58,123,628,5.5991,33,628
2025-02-21T23:28:11.042234,Grid,"Sampaloc, Manila",2.4145,38,58,123,628,5.6588,33,628
2025-02-21T23:28:24.459061,Grid,"Sampaloc, Manila",2.405,38,58,123,628,5.6241,33,628
2025-02-21T23:28:37.848369,Grid,"Sampaloc, Manila",2.4018,38,58,123,628,5.6162,33,628
2025-02-21T23:28:51.144232,Grid,"Sampaloc, Manila",2.364,38,58,123,628,5.5422,33,628
2025-02-21T23:29:04.423253,Grid,"Sampaloc, Manila",2.3695,38,58,123,628,5.5413,33,628
2025-02-21T23:29:17.669401,Grid,"Sampaloc, Manila",2.361,38,58,123,628,5.5223,33,628
2025-02-21T23:29:30.947659,Grid,"Sampaloc, Manila",2.3603,38,58,123,628,5.5617,33,628
2025-02-21T23:29:44.188312,Grid,"Sampaloc, Manila",2.3793,38,58,123,628,5.5131,33,628
2025-02-21T23:29:57.438885,Grid,"Sampaloc, Manila",2.3752,38,58,123,628,5.5335,33,628
2025-02-21T23:30:10.680430,Grid,"Sampaloc, Manila",2.3615,38,58,123,628,5.5262,33,628
2025-02-21T23:30:23.925835,Grid,"Sampaloc, Manila",2.3709,38,58,123,628,5.5897,33,628
